Method	#Params	Speedup	l2	relative l2
FNO	231850	107.8256686	0.187214527	0.691435499
DeepONet    	113418	454.2826906964377	0.3244024088594638	0.7519985430168087
GRU	363814	286.6295	0.341956615	0.754882075
LSTM	138746	601.1748527	0.04410689	0.215654088
FNO-GRU	752228	130	0.075	0.32
FNO-LSTM	126756	134	0.15626285	0.467647276
DeepONet-GRU	135556	242.2772601	0.139200144	0.499272871
DeepONet-LSTM	196108	280.1432158	0.175556599	0.509158102
GRU-FNO	121382	165.0024559	0.080813474	0.350195904
LSTM-FNO	2821322	116.6262165	0.094439663	0.358387107
GRU-DeepONet       	145782	300.4196678595893	0.341481315301128	0.7230426347454487
LSTM-DeepONet	293190	115.8718391	0.393763124	0.805339086
